1591;name;231
2009;name;266
2597;name;1800
3118;name;11500
3185;name;119
3383;name;481
3384;name;10484
3393;name;1512
3394;name;7250
3395;name;3819
3398;name;931
3407;name;329
3422;name;210
3525;name;350
3529;name;119
3553;name;1500
3587;name;581
3590;name;319
3594;name;331
3596;name;450
3648;name;350
3651;name;169
3652;name;8250
3653;name;800
3666;name;4550
3667;name;500
3715;name;4100
3716;name;3150
3717;name;231
3718;name;156
3726;name;350
3730;name;631
3778;name;281
3779;name;70
3846;name;1050
3859;name;350
4039;name;700
4075;name;2100
76;name;331
